
2025-04-21 11:16:59,792 Train started...
Trainable parameters: 1,388,548
batch 4600, time:0.544, loss: 99.9678, mean_absolute_error: 3.4760
batch 4700, time:0.543, loss: 82.9220, mean_absolute_error: 3.0505
batch 4800, time:0.554, loss: 45.7698, mean_absolute_error: 2.4481
batch 4900, time:0.554, loss: 53.3683, mean_absolute_error: 2.8370
batch 5000, time:0.552, loss: 82.0715, mean_absolute_error: 3.1767
batch 5100, time:0.543, loss: 86.8781, mean_absolute_error: 3.0468
batch 5200, time:0.551, loss: 58.7666, mean_absolute_error: 2.8575
batch 5300, time:0.531, loss: 79.9559, mean_absolute_error: 3.3451
batch 5400, time:0.538, loss: 50.7376, mean_absolute_error: 2.6410
batch 5500, time:0.536, loss: 79.2318, mean_absolute_error: 3.2085
batch 5600, time:0.556, loss: 49.9149, mean_absolute_error: 2.7280
batch 5700, time:0.540, loss: 86.4206, mean_absolute_error: 3.0612
005/80:  time: 5642.888 loss: 61.6755  mean_absolute_error: 2.9098,  val_loss: 61.3131,  val_mean_absolute_error: 2.9077
batch 100, time:0.542, loss: 35.0118, mean_absolute_error: 2.4806
batch 200, time:0.546, loss: 60.4637, mean_absolute_error: 2.7413
batch 300, time:0.545, loss: 58.7310, mean_absolute_error: 3.0035
batch 400, time:0.549, loss: 76.0166, mean_absolute_error: 3.3697
batch 500, time:0.552, loss: 53.4161, mean_absolute_error: 3.0507
batch 600, time:0.537, loss: 55.5516, mean_absolute_error: 2.7264
batch 700, time:0.545, loss: 53.7362, mean_absolute_error: 2.8824
batch 800, time:0.546, loss: 112.5402, mean_absolute_error: 3.2716
batch 900, time:0.557, loss: 94.6990, mean_absolute_error: 3.2393
batch 1000, time:0.526, loss: 45.5337, mean_absolute_error: 2.5304
batch 1100, time:0.544, loss: 57.9592, mean_absolute_error: 2.8076
batch 1200, time:0.551, loss: 64.9868, mean_absolute_error: 2.8983
batch 1300, time:0.554, loss: 44.0734, mean_absolute_error: 2.5875
batch 1400, time:0.546, loss: 65.5911, mean_absolute_error: 3.1156
batch 1500, time:0.543, loss: 52.6823, mean_absolute_error: 2.7292
batch 1600, time:0.547, loss: 59.0024, mean_absolute_error: 3.1172
batch 1700, time:0.551, loss: 94.4990, mean_absolute_error: 3.6603
batch 1800, time:0.548, loss: 54.9763, mean_absolute_error: 2.6815
batch 1900, time:0.547, loss: 81.9322, mean_absolute_error: 3.2225
batch 2000, time:0.552, loss: 47.2556, mean_absolute_error: 2.4490
batch 2100, time:0.543, loss: 55.1376, mean_absolute_error: 2.6711
batch 2200, time:0.535, loss: 44.2507, mean_absolute_error: 2.5655
batch 2300, time:0.551, loss: 67.2341, mean_absolute_error: 2.9290
batch 2400, time:0.551, loss: 56.0428, mean_absolute_error: 2.9044
batch 2500, time:0.548, loss: 66.8250, mean_absolute_error: 2.8729
batch 2600, time:0.542, loss: 65.3735, mean_absolute_error: 2.8629
batch 2700, time:0.525, loss: 62.5932, mean_absolute_error: 3.0422
batch 2800, time:0.533, loss: 76.2459, mean_absolute_error: 3.2801
batch 2900, time:0.549, loss: 56.7354, mean_absolute_error: 2.7638
batch 3000, time:0.547, loss: 53.2959, mean_absolute_error: 2.9084
batch 3100, time:0.556, loss: 59.7190, mean_absolute_error: 2.6241
batch 3200, time:0.550, loss: 75.4328, mean_absolute_error: 2.7698
batch 3300, time:0.531, loss: 58.1135, mean_absolute_error: 2.7194
batch 3400, time:0.535, loss: 44.2100, mean_absolute_error: 2.5096
batch 3500, time:0.514, loss: 48.4394, mean_absolute_error: 3.0115
batch 3600, time:0.553, loss: 75.5585, mean_absolute_error: 3.0998
batch 3700, time:0.553, loss: 62.6522, mean_absolute_error: 3.0683
batch 3800, time:0.553, loss: 36.8971, mean_absolute_error: 2.3828
batch 3900, time:0.528, loss: 38.3015, mean_absolute_error: 2.3605
batch 4000, time:0.551, loss: 44.6094, mean_absolute_error: 2.5226
batch 4100, time:0.546, loss: 57.8732, mean_absolute_error: 2.9401
batch 4200, time:0.546, loss: 50.7975, mean_absolute_error: 2.7437
batch 4300, time:0.554, loss: 52.4654, mean_absolute_error: 2.6989
batch 4400, time:0.552, loss: 58.3689, mean_absolute_error: 3.0648
batch 4500, time:0.556, loss: 76.3456, mean_absolute_error: 3.1750
batch 4600, time:0.554, loss: 68.9803, mean_absolute_error: 2.7817
batch 4700, time:0.551, loss: 34.9750, mean_absolute_error: 2.2826
batch 4800, time:0.537, loss: 77.5693, mean_absolute_error: 3.0524
batch 4900, time:0.557, loss: 56.3431, mean_absolute_error: 2.7738
batch 5000, time:0.515, loss: 59.4354, mean_absolute_error: 3.0554
batch 5100, time:0.553, loss: 42.8240, mean_absolute_error: 2.6914
batch 5200, time:0.548, loss: 73.1544, mean_absolute_error: 2.7765
batch 5300, time:0.554, loss: 59.8568, mean_absolute_error: 2.6245
batch 5400, time:0.537, loss: 65.3984, mean_absolute_error: 3.0091
batch 5500, time:0.557, loss: 44.9745, mean_absolute_error: 2.4434
batch 5600, time:0.551, loss: 70.3658, mean_absolute_error: 3.1349
batch 5700, time:0.559, loss: 50.4211, mean_absolute_error: 2.6838
006/80:  time: 5641.869 loss: 60.0939  mean_absolute_error: 2.8446,  val_loss: 58.9372,  val_mean_absolute_error: 2.7852
batch 100, time:0.546, loss: 72.4716, mean_absolute_error: 3.4250
batch 200, time:0.545, loss: 64.1880, mean_absolute_error: 2.6346
batch 300, time:0.523, loss: 71.4940, mean_absolute_error: 2.8155
batch 400, time:0.549, loss: 55.8671, mean_absolute_error: 2.7475
batch 500, time:0.548, loss: 53.6769, mean_absolute_error: 2.7644
batch 600, time:0.546, loss: 53.0373, mean_absolute_error: 2.5754
batch 700, time:0.531, loss: 59.6603, mean_absolute_error: 2.8457
batch 800, time:0.553, loss: 58.6552, mean_absolute_error: 2.8022
batch 900, time:0.548, loss: 48.7766, mean_absolute_error: 2.6136
batch 1000, time:0.550, loss: 62.4652, mean_absolute_error: 2.9331
batch 1100, time:0.557, loss: 56.7025, mean_absolute_error: 2.6810
batch 1200, time:0.540, loss: 55.3863, mean_absolute_error: 2.6980
batch 1300, time:0.549, loss: 53.0511, mean_absolute_error: 2.7458
batch 1400, time:0.538, loss: 44.8812, mean_absolute_error: 2.5712
batch 1500, time:0.523, loss: 59.5231, mean_absolute_error: 2.8232
batch 1600, time:0.546, loss: 50.9068, mean_absolute_error: 2.6438
batch 1700, time:0.552, loss: 45.0505, mean_absolute_error: 2.3980
batch 1800, time:0.546, loss: 51.8278, mean_absolute_error: 2.8279
batch 1900, time:0.547, loss: 54.8966, mean_absolute_error: 2.7742
batch 2000, time:0.554, loss: 61.1622, mean_absolute_error: 2.9400
batch 2100, time:0.535, loss: 59.9848, mean_absolute_error: 2.8710
batch 2200, time:0.554, loss: 58.2081, mean_absolute_error: 2.8124
batch 2300, time:0.540, loss: 50.8972, mean_absolute_error: 2.6417
batch 2400, time:0.534, loss: 50.9346, mean_absolute_error: 2.6319
batch 2500, time:0.545, loss: 91.4367, mean_absolute_error: 3.2773
batch 2600, time:0.551, loss: 51.2098, mean_absolute_error: 2.5598
batch 2700, time:0.553, loss: 44.7137, mean_absolute_error: 2.4170
batch 2800, time:0.534, loss: 59.3305, mean_absolute_error: 2.7978
batch 2900, time:0.546, loss: 71.1756, mean_absolute_error: 3.0016
batch 3000, time:0.531, loss: 56.1245, mean_absolute_error: 2.6192
batch 3100, time:0.551, loss: 72.1165, mean_absolute_error: 3.2161
